Match,TeamInnings,Battingposition,batsmanName,Runs,Balls,Fours,Sixes,SR,Out_Status,Matchlink
SRH vs PBKS,SRH,2,Abhishek Sharma,66,28,5,6,235.71,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
SRH vs PBKS,SRH,3,Rahul Tripathi,33,18,4,2,183.33,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
SRH vs PBKS,SRH,4,Nitish Kumar Reddy,37,25,1,3,148.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
SRH vs PBKS,SRH,5,Heinrich Klaasen ,42,26,3,2,161.53,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
SRH vs PBKS,SRH,6,Shahbaz Ahmed,3,6,0,0,50.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
SRH vs PBKS,SRH,7,Abdul Samad,11,8,0,1,137.50,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
SRH vs PBKS,SRH,8,Sanvir Singh,6,4,1,0,150.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
RCB vs CSK,RCB,1,Virat Kohli,47,29,3,4,162.06,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
RCB vs CSK,RCB,2,Faf du Plessis (c),54,39,3,3,138.46,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
RCB vs CSK,RCB,3,Rajat Patidar,41,23,2,4,178.26,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
RCB vs CSK,RCB,4,Cameron Green,38,17,3,3,223.52,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
RCB vs CSK,RCB,5,Dinesh Karthik ,14,6,1,1,233.33,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
RCB vs CSK,RCB,6,Glenn Maxwell,16,5,2,1,320.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
RCB vs CSK,RCB,7,Mahipal Lomror,0,1,0,0,0.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
CSK vs RCB,CSK,1,Ruturaj Gaikwad (c),0,1,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
CSK vs RCB,CSK,2,Rachin Ravindra,61,37,5,3,164.86,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
CSK vs RCB,CSK,3,Daryl Mitchell,4,6,0,0,66.66,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
CSK vs RCB,CSK,4,Ajinkya Rahane,33,22,3,1,150.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
CSK vs RCB,CSK,5,Shivam Dube,7,15,0,0,46.66,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
CSK vs RCB,CSK,6,Ravindra Jadeja,42,22,3,3,190.90,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
CSK vs RCB,CSK,7,Mitchell Santner,3,4,0,0,75.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
CSK vs RCB,CSK,8,MS Dhoni ,25,13,3,1,192.30,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
CSK vs RCB,CSK,9,Shardul Thakur,1,2,0,0,50.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
LSG vs MI,LSG,1,KL Rahul (c),55,41,3,3,134.14,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
LSG vs MI,LSG,2,Devdutt Padikkal,0,1,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
LSG vs MI,LSG,3,Marcus Stoinis,28,22,5,0,127.27,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
LSG vs MI,LSG,4,Deepak Hooda,11,9,1,0,122.22,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
LSG vs MI,LSG,5,Nicholas Pooran,75,29,5,8,258.62,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
LSG vs MI,LSG,6,Arshad Khan,0,1,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
LSG vs MI,LSG,7,Ayush Badoni,22,10,1,2,220.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
LSG vs MI,LSG,8,Krunal Pandya,12,7,1,1,171.42,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
MI vs LSG,MI,1,Rohit Sharma,68,38,10,3,178.94,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
MI vs LSG,MI,2,Dewald Brevis,23,20,1,2,115.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
MI vs LSG,MI,3,Suryakumar Yadav,0,3,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
MI vs LSG,MI,4,Ishan Kishan ,14,15,1,0,93.33,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
MI vs LSG,MI,5,Hardik Pandya (c),16,13,1,1,123.07,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
MI vs LSG,MI,6,Nehal Wadhera,1,3,0,0,33.33,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
MI vs LSG,MI,7,Naman Dhir,62,28,4,5,221.42,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
MI vs LSG,MI,8,Romario Shepherd,1,1,0,0,100.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
RR vs PBKS,RR,1,Yashasvi Jaiswal,4,4,1,0,100.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
RR vs PBKS,RR,2,Tom Kohler-Cadmore,18,23,2,1,78.26,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
RR vs PBKS,RR,3,Sanju Samson (c),18,15,3,0,120.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
RR vs PBKS,RR,4,Riyan Parag,48,34,6,0,141.17,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
RR vs PBKS,RR,5,Ravichandran Ashwin,28,19,3,1,147.36,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
RR vs PBKS,RR,6,Dhruv Jurel,0,1,0,0,0.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
RR vs PBKS,RR,7,Rovman Powell,4,5,1,0,80.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
RR vs PBKS,RR,8,Donovan Ferreira,7,8,0,0,87.50,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
RR vs PBKS,RR,9,Trent Boult,12,9,2,0,133.33,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
RR vs PBKS,RR,10,Avesh Khan,3,2,0,0,150.00,not out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
PBKS vs RR,PBKS,1,Prabhsimran Singh,6,4,1,0,150.00,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
PBKS vs RR,PBKS,2,Jonny Bairstow ,14,22,1,0,63.63,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
PBKS vs RR,PBKS,3,Rilee Rossouw,22,13,5,0,169.23,out,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
