Match_URL,Innings,Batting_Team,Bowling_Team,Position,Player,Out_Status,Runs,Balls,Fours,Sixes,SR
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,2,KKR,SRH,1,Rahmanullah Gurbaz †,out,23,14,2,2,164.28
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,2,KKR,SRH,2,Sunil Narine,out,21,16,4,0,131.25
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,2,KKR,SRH,3,Venkatesh Iyer,not out,51,28,5,4,182.14
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard,2,KKR,SRH,4,Shreyas Iyer (c),not out,58,24,5,4,241.66
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,1,PBKS,SRH,1,Atharva Taide,out,46,27,5,2,170.37
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,1,PBKS,SRH,2,Prabhsimran Singh,out,71,45,7,4,157.77
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,1,PBKS,SRH,3,Rilee Rossouw,out,49,24,3,4,204.16
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,1,PBKS,SRH,4,Shashank Singh,out,2,4,0,0,50.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,1,PBKS,SRH,5,Jitesh Sharma (c)†,not out,32,15,2,2,213.33
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,1,PBKS,SRH,6,Ashutosh Sharma,out,2,3,0,0,66.66
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,1,PBKS,SRH,7,Shivam Singh,not out,2,3,0,0,66.66
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,2,SRH,PBKS,1,Travis Head,out,0,1,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,2,SRH,PBKS,2,Abhishek Sharma,out,66,28,5,6,235.71
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,2,SRH,PBKS,3,Rahul Tripathi,out,33,18,4,2,183.33
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,2,SRH,PBKS,4,Nitish Kumar Reddy,out,37,25,1,3,148.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,2,SRH,PBKS,5,Heinrich Klaasen †,out,42,26,3,2,161.53
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,2,SRH,PBKS,6,Shahbaz Ahmed,out,3,6,0,0,50.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,2,SRH,PBKS,7,Abdul Samad,not out,11,8,0,1,137.50
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard,2,SRH,PBKS,8,Sanvir Singh,not out,6,4,1,0,150.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,1,RCB,CSK,1,Virat Kohli,out,47,29,3,4,162.06
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,1,RCB,CSK,2,Faf du Plessis (c),out,54,39,3,3,138.46
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,1,RCB,CSK,3,Rajat Patidar,out,41,23,2,4,178.26
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,1,RCB,CSK,4,Cameron Green,not out,38,17,3,3,223.52
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,1,RCB,CSK,5,Dinesh Karthik †,out,14,6,1,1,233.33
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,1,RCB,CSK,6,Glenn Maxwell,out,16,5,2,1,320.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,1,RCB,CSK,7,Mahipal Lomror,not out,0,1,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,2,CSK,RCB,1,Ruturaj Gaikwad (c),out,0,1,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,2,CSK,RCB,2,Rachin Ravindra,out,61,37,5,3,164.86
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,2,CSK,RCB,3,Daryl Mitchell,out,4,6,0,0,66.66
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,2,CSK,RCB,4,Ajinkya Rahane,out,33,22,3,1,150.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,2,CSK,RCB,5,Shivam Dube,out,7,15,0,0,46.66
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,2,CSK,RCB,6,Ravindra Jadeja,not out,42,22,3,3,190.90
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,2,CSK,RCB,7,Mitchell Santner,out,3,4,0,0,75.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,2,CSK,RCB,8,MS Dhoni †,out,25,13,3,1,192.30
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard,2,CSK,RCB,9,Shardul Thakur,not out,1,2,0,0,50.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,1,LSG,MI,1,KL Rahul (c)†,out,55,41,3,3,134.14
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,1,LSG,MI,2,Devdutt Padikkal,out,0,1,0,0,0.00
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,1,LSG,MI,3,Marcus Stoinis,out,28,22,5,0,127.27
https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard,1,LSG,MI,4,Deepak Hooda,out,11,9,1,0,122.22
