name,image,batting_style,bowling_style,playing_role,description
Philip Dean Salt,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383141.1.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan. Born in Wales but raised in Barbados, Salt's interests quickly switched from football to cricket. He had watched Manchester City home and away growing up, but the move to the Caribbean inspired a desire to play cricket, and play it aggressively. He won a scholarship to play cricket at Reed School in Surrey, from where he was recommended to Keith Medlycott and joined their academy. He made a first-team debut in August 2015, but it wasn't until 2018 that he really broke through."
Venkatesh Rajasekaran Iyer,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/337100/337187.1.png",Left hand Bat,Right arm Medium,Allrounder,"A loose-limbed and tall pace-bowling allrounder, Venkatesh Iyer was briefly a much sought-after player in white-ball cricket for India. He had shone with both and ball as India searched for Hardik Pandya's back-up in the lead-up to the 2021 and 2022 T20 World Cups. Cricket was not always his first career choice. A ""bright student,"" in his own words, Venkatesh was on his way to becoming a Chartered Accountant before he switched to finish an MBA in finance while also playing side by side, which landed him a job with the high-profile accounting firm Deloitte in 2018 when he decided to focus solely on cricket."
Sunil Philip Narine,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320119.1.png",Left hand Bat,Right arm Offbreak,Bowling Allrounder,"Sunil Narine player profile Mystery spinner Sunil Narine is perhaps the first high-profile cricketer to make a career as a T20 specialist slow bowler, armed with a bag of variations - skidders, knuckleballs, carrom balls and more - for every occasion, and a party trick of thrashing quick runs up or down the order with the bat. Narine got his call-up to the Trinidad and Tobago squad in 2009 after he took all ten wickets in a trial game. Two years later came his first big outing, when he was one of three bowlers to take ten or more wickets at the 2011 Champions League Twenty20 for T&T. In 2012, he helped take West Indies to the World T20 title, the first time they claimed a global trophy since 1979."
Anukul Sudhakar Roy,https://wassets.hscicdn.com/static/images/lazyimage-transparent.png,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Andre Dwayne Russell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316615.1.png",Right hand Bat,Right arm Fast,Allrounder,"Andre Russell player profile A world-class seam-bowling allrounder from Jamaica, Andre Russell made his first-class debut at 19 and Test debut at 22, but it is as a T20 legend, sought after by every franchise league in the world, that he will be remembered. By the time Russell was little more than five years into international cricket, he was a two-time T20 world champion. A batter who hits the ball hard enough to make it scream for mercy, he functions primarily as a finisher. He generates fair pace and bounce with the ball in hand and when it is anywhere near him in the field, it doesn't matter at what speed it's travelling; Russell will probably get to it. He is less a cricketer, in the traditional sense, than an athlete."
Vaibhav Gopal Arora,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/389500/389547.5.png",Right hand Bat,Right arm Fast medium,Bowler,
Pathira Vasan Dushmantha Chameera,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319862.2.png",Right hand Bat,Right arm Fast,Bowler,"Tall, slim and slippery, Dushmantha Chameera arrived at NCC in 2012, and was quickly marked out as a bowler for the future. First among his virtues is pace, generated from a slightly round-arm action that sacrifices movement. Capable of consistently hitting speeds of over 140 kph, coaches believe he had become the quickest bowler in the country by 23. He had played only a handful of games in his first two seasons, but came into his own in NCC's 2013-14 championship run, claiming 32 first-class cricket at 21.18. Chameera's earned a place in Sri Lanka's Test squad to New Zealand at the end of 2014, but did not play a Test, despite a strong showing in the tour match. He was a late entry into the ODI squad for the same tour, and made his international debut in Wellington, and claimed the wicket of Ross Taylor with a 146kph delivery in his first over."
AM Ghazanfar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390500/390546.2.png",Right hand Bat,Right arm Offbreak,Bowler,
Harshit Pradeep Rana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/358000/358042.3.png",Right hand Bat,Right arm Fast,Bowler,"A fast bowler from Delhi, Harshit Rana is among the modern breed of players who made their IPL debut before their senior domestic debut. In his case, it was thanks to Kolkata Knight Riders' scouting system. With height, pace, hit-the-deck skills and clever variations to his credit, Harshit was fast-tracked into the India squad in July 2024, after having won the IPL with KKR. Harshit was 20 when - on the advice of Nitish Rana, who also hails from Delhi - KKR brought him on board as a replacement for the injured Rasikh Salam in 2022. Later that year, Harshit made his first-class and List A debuts as well, showcasing his ability to adapt with the red ball with 21 wickets in five first-class Ranji Trophy games that season."
Chetan Sakariya,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/380600/380674.5.png",Left hand Bat,Left arm Medium fast,Bowler,
Sakib Hussain,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/387600/387604.1.png",Right hand Bat,Right arm Medium,Bowler,
